Clave,with RSOC,with Local Security,Closed,First response,I.First Response,I.Escalamiento,I.respuesta Sub,,,05:56:00 a. m.,06:30:00 a. m.,,0.02
TPGSOC-1320008,,,2025-12-26T10:19:35.206-0500,,,,,,,,,,
TPGSOC-1319989,,,2026-01-14T10:13:07.366-0500,,,,,,,,,,
TPGSOC-1319903,,,,2025-12-22T14:18:09.633-0500,,,,,,,,,
TPGSOC-1319599,2025-12-22T10:54:34.720-0500,2025-12-22T23:23:12.284-0500,2026-01-02T12:12:30.328-0500,2025-12-22T11:05:01.142-0500,0.17,12.3,265.12,,,,,,
TPGSOC-1319484,2025-12-22T11:58:33.770-0500,2025-12-23T10:33:15.029-0500,2026-01-02T12:10:39.415-0500,2025-12-22T14:18:14.283-0500,2.33,20.25,261.87,,,,,,
TPGSOC-1319478,2025-12-22T09:30:55.248-0500,,2025-12-22T15:44:57.849-0500,2025-12-22T10:25:41.160-0500,0.91,,5.32,,,,,,
TPGSOC-1319321,2025-12-22T05:18:30.066-0500,2025-12-22T08:32:03.680-0500,2025-12-26T08:59:11.854-0500,2025-12-22T05:20:24.469-0500,0.03,3.19,99.65,,,,,,
TPGSOC-1319130,2025-12-22T01:48:23.435-0500,2025-12-22T08:32:05.848-0500,,2025-12-22T01:49:37.979-0500,0.02,6.71,,,,,,,
TPGSOC-1318063,2025-12-21T08:26:04.747-0500,2025-12-21T11:39:45.667-0500,,2025-12-21T09:08:57.042-0500,0.71,2.51,,,,,,,
TPGSOC-1317999,2025-12-21T08:00:39.821-0500,2025-12-21T08:34:12.538-0500,,2025-12-21T08:02:00.292-0500,0.02,0.54,,,,,,,
TPGSOC-1317987,2025-12-21T04:49:04.940-0500,2025-12-21T08:42:35.592-0500,2025-12-26T08:56:21.908-0500,2025-12-21T05:00:30.417-0500,0.19,3.7,123.93,,,,,,
TPGSOC-1317919,2025-12-21T06:45:35.174-0500,2025-12-21T08:34:16.347-0500,,2025-12-21T08:01:56.779-0500,1.27,0.54,,,,,,,
TPGSOC-1317913,2025-12-21T06:30:24.072-0500,2025-12-21T08:34:19.324-0500,2025-12-26T08:55:02.541-0500,2025-12-21T06:33:56.912-0500,0.06,2.01,122.35,,,,,,
TPGSOC-1317770,2025-12-20T09:18:01.789-0500,2025-12-20T12:30:49.461-0500,,2025-12-20T10:07:26.818-0500,0.82,2.39,,,,,,,
TPGSOC-1317453,2025-12-21T12:55:14.039-0500,2025-12-21T22:47:01.070-0500,,2025-12-21T14:42:55.031-0500,1.79,8.07,,,,,,,
TPGSOC-1317447,2025-12-20T09:52:57.140-0500,,2025-12-21T22:50:55.287-0500,2025-12-20T10:07:22.480-0500,0.24,,36.73,,,,,,
TPGSOC-1317377,2025-12-20T09:51:49.576-0500,2025-12-20T12:17:36.617-0500,2026-01-14T10:09:57.013-0500,2025-12-20T10:07:17.233-0500,0.26,2.17,600.04,,,,,,
TPGSOC-1317376,2025-12-20T09:50:47.171-0500,,2025-12-20T10:57:05.047-0500,2025-12-20T10:07:14.439-0500,0.27,,0.83,,,,,,
TPGSOC-1317172,2025-12-20T04:10:30.487-0500,2025-12-20T06:23:05.021-0500,2025-12-26T08:53:50.721-0500,2025-12-20T04:30:34.597-0500,0.33,1.88,148.39,,,,,,
TPGSOC-1316870,2025-12-19T07:41:04.593-0500,2025-12-19T07:48:39.275-0500,2026-01-14T08:58:13.818-0500,2025-12-19T07:44:55.952-0500,0.06,0.06,625.22,,,,,,
TPGSOC-1316855,2025-12-19T08:18:29.216-0500,2025-12-19T10:58:54.977-0500,2025-12-26T10:14:07.881-0500,2025-12-19T08:34:08.834-0500,0.26,2.41,169.67,,,,,,
TPGSOC-1316100,2025-12-20T02:43:04.040-0500,2025-12-20T06:23:07.935-0500,,2025-12-20T03:04:23.255-0500,0.36,3.31,,,,,,,
TPGSOC-1315860,2025-12-18T10:15:16.463-0500,,2025-12-20T12:06:50.659-0500,2025-12-18T10:34:32.167-0500,0.32,,49.54,,,,,,
TPGSOC-1315805,2025-12-18T05:54:06.280-0500,,2025-12-18T06:23:20.332-0500,2025-12-18T05:58:32.762-0500,0.07,,0.41,,,,,,
TPGSOC-1315793,2025-12-18T07:26:46.186-0500,2025-12-18T09:07:08.385-0500,2025-12-26T10:11:12.346-0500,2025-12-18T07:27:53.523-0500,0.02,1.65,194.72,,,,,,
TPGSOC-1315587,2025-12-18T10:19:12.230-0500,2025-12-18T11:03:59.252-0500,2026-01-07T09:46:27.873-0500,2025-12-18T10:20:19.319-0500,0.02,0.73,479.44,,,,,,
TPGSOC-1315571,2025-12-18T02:29:00.426-0500,2025-12-18T09:01:37.601-0500,,2025-12-18T02:33:26.658-0500,0.07,6.47,,,,,,,
TPGSOC-1315346,2025-12-18T05:24:28.631-0500,,2025-12-19T09:37:07.402-0500,,,,,,,,,,
TPGSOC-1314937,2025-12-17T12:42:01.411-0500,2025-12-17T15:26:19.314-0500,,2025-12-17T12:55:04.625-0500,0.22,2.52,,,,,,,
TPGSOC-1314437,2025-12-17T04:53:54.678-0500,,2025-12-19T09:34:53.580-0500,,,,,,,,,,
TPGSOC-1314418,2025-12-16T23:47:41.739-0500,2025-12-17T07:14:31.502-0500,2025-12-19T05:04:13.387-0500,2025-12-16T23:59:43.202-0500,0.2,7.25,53.08,,,,,,
TPGSOC-1314037,2025-12-16T08:32:46.979-0500,2025-12-16T09:42:25.005-0500,2026-01-07T09:47:33.379-0500,2025-12-16T08:36:43.283-0500,0.07,1.09,529.18,,,,,,
TPGSOC-1313430,2025-12-16T02:21:38.497-0500,,2025-12-16T12:02:20.933-0500,,,,,,,,,,
TPGSOC-1313265,2025-12-16T06:39:06.719-0500,2025-12-16T15:11:45.014-0500,,2026-01-08T14:46:05.222-0500,560.12,-551.57,,,,,,,
